"DATASET_YR","INUN_ID","NAME","YEAR_LAST_SURVEYED","LINE1","LINE2","LINE3","FRN_POSTAL_LOC","DOM_LOC_CITY","CITY","STATE_CODE","COUNTY","COUNTRY_CODE","ZIPCODE","OFFICIAL_AREA_CODE","OFFICIAL_PHONE","OFFICIAL_EXT","INSTATE_AREA_CODE","INSTATE_PHONE","INSTATE_EXT","OUTSTATE_AREA_CODE","OUTSTATE_PHONE","OUTSTATE_EXT","FAX_AREA_CODE","FAX","FAX_EXT","COORDINATE_SCHOOL","DB_KEY","AFFIL_CODE","DENOM_CODE","FIPS_CODE","URL_ADDRESS","SAT_KEY","MAIN_CARNEGIE_CLASS","MAIN_CNTRL_REG_ID","MAIN_FICE_CODE","MAIN_IPEDS_CODE","MAIN_SPECIAL_CODE","MAIN_SPECIAL_T","MAIN_FUNCTION_TYPE","MAIN_STUDENT_BODY","MAIN_FOUNDING_YR","MAIN_CONGRESS_DIST","MAIN_INST_CONTROL","MAIN_CALENDAR","MAIN_OTHER_CALENDAR"
2020,5000,"Abilene Christian University",2020,"1600 Campus Court",,,,,"Abilene","TX","Taylor","USA","79699","325","674-2000",,"800","460-6228",,"800","460-6228",,,,,,"000390","017",,"0040","http://www.acu.edu/",,"21","1750851900A1","003537","222178",,,"UNIV","CE",1906,"17","PR","SEM",
2020,5001,"Amberton University",2016,"1700 Eastgate Drive",,,,,"Garland","TX","Dallas","USA","75041-5595","972","279-6511",,,,,,,,"972","279-9773",,,"000490",,"118","1920","http://www.amberton.edu/",,"55","1751786007A1","022594","222628",,,"UPWG","CE",1971,"03","PR","OTH","4 10-week terms"
2020,5002,"Abraham Baldwin Agricultural College",2019,"2802 Moore Highway",,,,,"Tifton","GA","Tift","USA","31793","229","391-5001",,"800","733-3653",,"800","733-3653",,"229","386-7006",,,"000780",,,,"http://www.abac.edu/",,"40","1586002070A1","001541","138558",,,"4YEAR","CE",1933,"02","GS","SEM",
2020,5003,"Vaughn College of Aeronautics and Technology",2020,"86-01 23rd Avenue",,,,,"Flushing","NY","Queens","USA","11369","718","429-6600",,"866","6VAUGHN",,"866","6VAUGHN",,"718","429-0256",,,"001170",,,"5600","http://www.vaughn.edu/",,"54","1110461385A1","002665","188340",,,"COMP","PM",1932,"07","PN","SEM",
2020,5004,"Academy of Art University",2020,"79 New Montgomery Street",,,,,"San Francisco","CA","San Francisco","USA","94105-3410","415","274-2200",,"800","544-ARTS",,"800","544-ARTS",,"415","263-4130",,,"001200",,,"7360","http://www.academyart.edu/",,"56",,"007531","108232",,,"COMP","CE",1929,"08","PP","SEM",
2020,5007,"Bryn Athyn College of the New Church",2020,"2965 College Drive","PO Box 717",,,,"Bryn Athyn","PA","Montgomery","USA","19009-0717","267","502-2400",,"800","767-9552",,"800","767-9552",,"267","502-2658",,,"001560","020","082","6160","http://www.brynathyn.edu/",,,"1231433899A1","003228","210492",,,"COMP","CE",1877,"13","PR","TRI",
2020,5008,"Acadia University",2019,"15 University Avenue",,,,,"Wolfville","NS",,"CAN","B4P 2R6","902","542-2201",,,,,"877","585-1121",,"902","585-1081",,,"001950",,,,"http://www.acadiau.ca/",,,,,,,,"COMP","CE",1838,,"GP","OTH","Canadian standard year"
2020,5009,"Adams State University",2020,"208 Edgemont Boulevard",,,,,"Alamosa","CO","Alamosa","USA","81101","719","587-7011",,"800","824-6494",,"800","824-6494",,"719","587-7522",,,"002340",,,,"http://www.adams.edu/",,"21","1846000542A1","001345","126182",,,"COMP","CE",1921,"03","GS","SEM",
2020,5010,"Adelphi University",2020,"One South Avenue","PO Box 701",,,,"Garden City","NY","Nassau","USA","11530-0701","516","877-3000",,"800","ADELPHI",,"800","ADELPHI",,"516","877-3039",,,"002730",,,"5380","http://www.adelphi.edu/",,"16","1111630741A1","002666","188429",,,"UNIV","CE",1896,"04","PN","SEM",
2020,5011,"Adirondack Community College",2020,"640 Bay Road",,,,,"Queensbury","NY","Warren","USA","12804","518","743-2200",,"888","SUNY-ADK",,"888","SUNY-ADK",,"518","745-1433",,,"003120",,,"2975","http://www.sunyacc.edu/",,"40","1146013244A1","002860","188438",,,"2YEAR","CE",1960,"22","GSL","SEM",
2020,5012,"Adrian College",2014,"110 South Madison Street",,,,,"Adrian","MI","Lenawee","USA","49221-2575","517","265-5161",,"800","877-2246",,"800","877-2246",,"517","265-3331",,,"003510","070",,"0440","http://www.adrian.edu/",,"31","1381357980A1","002234","168528",,,"COMP","CE",1859,"07","PR","SEM",
2020,5016,"Agnes Scott College",2020,"141 East College Avenue",,,,,"Decatur","GA","DeKalb","USA","30030-3797","404","471-6000",,"800","868-8602",,"800","868-8602",,"404","471-6414",,,"003900","086",,"0520","http://www.agnesscott.edu/",,"31","1580566116A1","001542","138600",,,"COMP","OW",1889,"04","PR","SEM",
2020,5017,"Aiken Technical College",2016,"2276 J. Davis Highway",,,,,"Graniteville","SC","Aiken","USA","29829","803","593-9231",,,,,,,,,,,,"004000",,,"0600","http://www.atc.edu/",,"40","1570523399A1","010056","217615",,,"2YEAR","CE",1972,"03","GSL","SEM",
2020,5018,"Aims Community College",2019,"Box 69","5401 West 20th Street",,,,"Greeley","CO","Weld","USA","80632-0069","970","330-8008",,,,,,,,,,,,"004100",,,"3060","http://www.aims.edu/",,"40","1840566168A1","007582","126207",,,"2YEAR","CE",1967,"04","GDI","SEM",
2020,5020,"Alabama Agricultural and Mechanical University",2020,"4900 Meridian Street",,,,,"Huntsville","AL","Madison","USA","35811","256","372-5000",,"800","553-0816",,"800","553-0816",,"256","372-5881",,,"004680",,,"3440","http://www.aamu.edu/",,"16","1636001097A1","001002","100654",,,"UNIV","CE",1875,"05","GS","SEM",
2020,5024,"Faulkner University",2018,"5345 Atlanta Highway",,,,,"Montgomery","AL","Montgomery","USA","36109-3398","334","386-7324",,"800","879-9816",,"800","879-9816",,"334","386-7268",,,"004870","017",,"5240","http://www.faulkner.edu/",,"32","1630329409A1","001003","101189",,,"UNIV","CE",1942,"02","PR","SEM",
2020,5026,"Alabama State University",2020,"915 South Jackson Street",,,,,"Montgomery","AL","Montgomery","USA","36101-0271","334","229-4100",,"800","253-5037",,"800","253-5037",,"334","229-4984",,,"005070",,,"5240","http://www.alasu.edu/",,"21","1636001101A1","001005","100724",,,"UNIV","CE",1867,"02","GS","SEM",
2020,5029,"Alaska Bible College",2019,"248 East Elmwood Avenue",,,,,"Palmer","AK","Valdez Cordova","USA","99645","907","745-3201",,"800","478-7884",,"800","478-7884",,"907","745-3210",,,"005300",,"118",,"http://www.akbible.edu/",,"51","1920021800A1","008843","102580",,,"4YEAR","CE",1966,"99","PR","SEM",
2020,5031,"Alaska Pacific University",2018,"4101 University Drive",,,,,"Anchorage","AK","Anchorage","USA","99508-4672","907","561-1266",,"800","252-7528",,"800","252-7528",,"907","564-8317",,,"005460",,,"0380","http://www.alaskapacific.edu/",,"21","1920023588A1","001061","102669",,,"COMP","CE",1959,"99","PN","SEM",
2020,5032,"Bryant & Stratton College-Albany Campus",2010,"1259 Central Avenue",,,,,"Albany","NY","Albany","USA","12205","518","437-1802",,,,,,,,"518","437-1048",,,"005467",,,"0160","http://www.bryantstratton.edu/",,"40","1141471580A1","004749","188517",,,"2YEAR","CE",1857,"21","PP","SEM",
2020,5033,"Albany College of Pharmacy and Health Sciences",2015,"106 New Scotland Avenue",,,,,"Albany","NY","Albany","USA","12208","518","445-7200",,"888","203-8010",,"888","203-8010",,"518","445-7202",,,"005850",,,"0160","http://www.acphs.edu/",,"53","1141423161A1","002885","188526",,,"COMP","CE",1881,"21","PN","SEM",
2020,5037,"Albany State University",2019,"504 College Drive",,,,,"Albany","GA","Dougherty","USA","31705-2717","229","430-4600",,"800","822-7267",,"800","822-7267",,"229","430-3936",,,"007410",,,"0120","http://www.asurams.edu/",,"21","1586001996A1","001544","138716",,,"COMP","CE",1903,"02","GS","SEM",
2020,5038,"Alberta College of Art & Design",2018,"1407 14 Avenue NW",,,,,"Calgary","AB",,"CAN","T2N 4R3","403","284-7600",,,,,"800","251-8290",,,,,,"007510",,,,"http://www.acad.ca/",,,,,,,,"4YEAR","CE",1926,,"GP","SEM",
2020,5039,"Albertus Magnus College",2020,"700 Prospect Street",,,,,"New Haven","CT","New Haven","USA","06511-1189","203","773-8550",,"800","578-9160",,"800","578-9160",,"203","785-8652",,,"008190",,"053","5480","http://www.albertus.edu/",,"32","1060646520A1","001374","128498",,,"COMP","CE",1925,"03","PR","SEM",
